category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
302302;Проводной извещатель движения Hikvision DS-PDP18-EG2(B);Покриття;;18 м;Метод роботи;;Датчик руху;Висота установки;;від 1.8м до 2.4м;Імунітет до тварин;;підтримує 15 кг;Автоматична чутливість;;підтримує;Цифрова температурна компенсація;;підтримує;Антісаботаж;;З фронтального боку;Швидкість детекції;;від 0.3 до 2 мс;Живлення;;9-16 DC В;Робоча температура;;-10 °C - +40 °C;Розміри;;86.8 × 65.4 × 45.5 мм;Матеріал;;пластик;Вага;;68 г;Колір;;білий;Можливості використання;;"Монтаж на стіну, на стелю";Кількість в ящику;;50 шт;Розмір упаковки (Ш х В х Г);;60 x 90 x 70 мм;Вага брутто;;0.1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;Проводной PIR извещатель движения AX PRO DS-PDP18-EG2(P)/Europe BLACK;Покриття;;19м 85.9°;Висота установки;;1.8-2.4м;Імунітет до тварин;;10 кг;Автоматична чутливість;;Підтримує;Антісаботаж;;Підтримує;Живлення;;9-16В DС;Швидкість детекції;;0.3 ~ 2 м/с;Робоча температура;;-10 °C - +55 °C;Розміри;;65.4 x 86.8 x 45.5 мм;Вага;;68 г;Кількість в ящику;;50 шт;Розмір упаковки (Ш х В х Г);;60 x 90 x 70 мм;Вага брутто;;0.1 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;беспроводной извещатель движения DS-PDD12P-EG2-WE;Метод роботи;;"Пасивний інфрачервоний датчик, СВЧ-датчик";Площа;;12 м;Висота установки;;Від 1.8 до 2.4 м;Нижня зона виявлення;;підтримується;Імунітет до тварин;;підтримується;Автоматична чутливість;;підтримується;Цифрова температурна компенсація;;підтримується;Антісаботаж;;підтримується;Індикатор рівня сигналу;;підтримується;Частотна характеристика;;868 МГц;Відстань передачі;;1600м (відкритий простір);Швидкість детекції;;Від 0.3 до 2 м / с;Живлення;;CR123A x 2 (включена в комплект поставки);Термін роботи батареї;;5 років;Робоча температура;;Від -10 до +55 ° C;Розміри;;66 × 103 × 49 мм;Вага;;141 г;Колір;;білий;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;70 x 55 x 105 мм;Вага брутто;;0.18 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;проводной извещатель движения DS-PDC15-EG2;Покриття;;"15 м, 6.3°";Висота установки;;2.4 - 3.6 м;Антісаботаж;;Підтримує;Живлення;;9 - 16 В DC;Робоча температура;;-10 °C - 40 °C;Розміри;;86.8 × 65.4 × 45.5 мм;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;55 x 90 x 65 мм;Вага брутто;;0.1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;беспроводной извещатель движения DS-PDP15P-EG2-WE;Покриття;;15 м;Метод роботи;;Бездротовий PIR датчик;Висота установки;;1.8 - 2.4 м;Імунітет до тварин;;до 30 кг;Автоматична чутливість;;підтримує;Антісаботаж;;підтримує;Частотна характеристика;;868 МГц;Відстань передачі;;1600м (відкритий простір);Живлення;;батарея 1xCR123A;Термін роботи батареї;;5 років;Робоча температура;;-10 ° C - 55 ° C;Розміри;;66 х 103 х 49 мм;Вага;;128 г;Колір;;білий;Можливості використання;;На стіні або на стелі;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;70 x 60 x 110 мм;Вага брутто;;0.16 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;беспроводной извещатель движения потолочный DS-PDCL12-EG2-WE;Площа;;"12 м, 360°";Висота установки;;2.4 - 4 м;Цифрова температурна компенсація;;Підтримує;Частотна характеристика;;868 мГц;Відстань передачі;;1.6 км;Швидкість детекції;;0.3 - 2 м/с;Живлення;;CR123A × 1 3В;Термін роботи батареї;;5 років;Робоча температура;;-10 °C - 55 °C;Розміри;;φ101 x 33 мм;Вага;;110 г;Розмір упаковки (Ш х В х Г);;105 x 50 x 105 мм;Вага брутто;;0.14 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;беспроводной магнитоконтактный извещатель DS-PDMCK-EG2-WE;Метод роботи;;Бездротовий СМК + датчик вібрації;Автоматична чутливість;;підтримується;Цифрова температурна компенсація;;підтримується;Антісаботаж;;підтримується;Індикатор рівня сигналу;;підтримується;Частотна характеристика;;868 МГц;Відстань передачі;;1600м (відкритий простір);Живлення;;CR123A x 1;Термін роботи батареї;;3 роки;Ступінь захисту;;усередині приміщень;Робоча температура;;Від -10 до +55 ° C;Розміри;;"22.5 × 103 × 23.2 мм, 13 × 34.4 × 11.4 мм";Вага;;60 г;Колір;;білий;Кількість в ящику;;40 шт;Розмір упаковки (Ш х В х Г);;50 x 30 x 105 мм;Вага брутто;;0.08 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;беспроводной извещатель движения DS-PDC10AM-EG2-WE;Покриття;;"кут 5°, 32 зони";Метод роботи;;PIR + мікрохвилі;Висота установки;;2 - 3.5 м;Імунітет до тварин;;12 кг (настінний монтаж);Цифрова температурна компенсація;;Підтримує;Антісаботаж;;Підтримує;Відстань передачі;;1600 м;Швидкість детекції;;0.3～2 м/с;Живлення;;"CR123A × 2, 3 В";Термін роботи батареї;;до 5 років;Ступінь захисту;;IP65;Робоча температура;;-10 °C - 55 °C;Розміри;;29 × 134 × 40 мм;Вага;;119 г;Кількість в ящику;;40 шт;Розмір упаковки (Ш х В х Г);;80 x 250 x 20 мм;Вага брутто;;0.15 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;беспроводной извещатель затопления DS-PDWL-E-WE;Метод роботи;;датчик затоплення;Цифрова температурна компенсація;;підтримує;Антісаботаж;;підтримує;Індикатор рівня сигналу;;підтримує;Частотна характеристика;;868 МГц;Відстань передачі;;1200 м (відкритий простір);Живлення;;CR2450 x 1;Термін роботи батареї;;3 роки;Ступінь захисту;;IP66;Робоча температура;;Від -10 до +55 ° C;Розміри;;62.4 × 62.4 × 14.6 мм;Колір;;білий;Розмір упаковки (Ш х В х Г);;62 x 15 x 63 мм;Вага брутто;;0.13 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;беспроводной извещатель движения DS-PDTT15AM-LM-WE;Покриття;;15 м 90° - 180°;Метод роботи;;"Пасивний інфрачервоний, мікрохвильовий";Висота установки;;0.8 - 1.2 м;Імунітет до тварин;;40 кг;Цифрова температурна компенсація;;Підтримує;Антісаботаж;;Підтримує;Частотна характеристика;;868 МГц;Відстань передачі;;1600 м;Швидкість детекції;;0.3- 2 м/с;Живлення;;3В CR123A × 5;Термін роботи батареї;;5 років;Ступінь захисту;;IP65;Робоча температура;;−25°C - +60°C;Розміри;;75 × 202 × 73 мм;Вага;;600 г;Розмір упаковки (Ш х В х Г);;125 x 80 x 260 мм;Вага брутто;;0.66 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;Датчик разбития стекла с микрофоном DS-PDBG8-EG2-WE;Метод роботи;;Датчик розбиття скла з мікрофоном;Цифрова температурна компенсація;;підтримується;Антісаботаж;;підтримується;Індикатор рівня сигналу;;підтримується;Відстань передачі;;1600м (відкритий простір);Живлення;;CR123A x 2;Термін роботи батареї;;5 років;Ступінь захисту;;усередині приміщень;Робоча температура;;Від -10 до +55 ° C;Розміри;;38.8 × 107.0 × 24.5 мм;Вага;;83 г;Колір;;білий;Кількість в ящику;;40 шт;Розмір упаковки (Ш х В х Г);;107 x 25 x 39 мм;Вага брутто;;0.083 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;беспроводной извещатель движения с камерой DS-PDPC12P-EG2-WE;Площа;;12 м;Висота установки;;1.8 - 2.4 м;Імунітет до тварин;;до 30 кг;Автоматична чутливість;;підтримує;Антісаботаж;;підтримує;Частотна характеристика;;868 МГц;Відстань передачі;;800м (відкритий простір);Живлення;;3 х CR123A;Термін роботи батареї;;6 років;Робоча температура;;-10 ° C - 55 ° C;Розміри;;72 х 121 х 57 мм;Вага;;210 г;Колір;;білий;Можливості використання;;На стіні і на стелі;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;135 x 75 x 60 мм;Вага брутто;;0.21 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;Беспроводной внешний магнитный детектор DS-PDMCX-E-WE;Метод роботи;;контактний;Антісаботаж;;Підтримує;Частотна характеристика;;868 мГц;Відстань передачі;;1.6 км;Швидкість детекції;;затримка 76 мм;Живлення;;CR123A x 1 3В;Термін роботи батареї;;5 років;Ступінь захисту;;IP66;Робоча температура;;-20 °C - 60 °C;Розміри;;"сенсор 41 × 146 × 41 мм, магнит 31 х 146 х 41 мм";Розмір упаковки (Ш х В х Г);;185 x 50 x 150 мм;Вага брутто;;0.3 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;беспроводной извещатель движения DS-PDC15-EG2-WE;Метод роботи;;Бездротовий внутрішній ІК датчик руху з вузьким кутом огляду;Висота установки;;Від 2.4 до 3.6 м;Нижня зона виявлення;;підтримується;Автоматична чутливість;;підтримується;Цифрова температурна компенсація;;підтримується;Антісаботаж;;підтримується;Індикатор рівня сигналу;;підтримується;Частотна характеристика;;868 МГц;Відстань передачі;;1600м (відкритий простір);Живлення;;CR123A x 1;Термін роботи батареї;;5 років;Ступінь захисту;;усередині приміщень;Робоча температура;;Від -10 до +55 ° C;Розміри;;66 × 103 × 49 мм;Вага;;128 г;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;70 x 60 x 105 мм;Вага брутто;;0.16 кг;Строк гарантії;;24 міс.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;модуль радиочастотной камеры DS-PDCM15PF-IR;Покриття;;"137.2°(Г), 80.1°(В)";Метод роботи;;відео підтвердження;Сенсор;;"2.0 мм, F2.25";Роздільна здатність;;"640*480,320*240,160*120";Живлення;;"3 В DC, 1200 мА";Ступінь захисту;;IP66;Робоча температура;;-25 °C - 60 °C;Розміри;;74.1 x 72.35 x 53 мм;Вага;;155 г;Розмір упаковки (Ш х В х Г);;115 x 65 x 115 мм;Вага брутто;;0.22 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;беспроводной извещатель движения с камерой DS-PDPC12PF-EG2-WE;Покриття;;12 м 85.9°;Метод роботи;;"Пасивний інфрачервоний сенсор, відеоперевірка";Висота установки;;1.8 - 2.4 м;Імунітет до тварин;;30 кг;Цифрова температурна компенсація;;Підтримує;Індикатор рівня сигналу;;Підтримує;Частотна характеристика;;CAM-X 868 МГц;Відстань передачі;;800 м;Швидкість детекції;;0.3 - 2 м/с;Живлення;;3В CR123A × 3;Роздільна здатність;;"640*480, 320*240, 160*120";Термін роботи батареї;;до 6 років (спрацювання двічі на тиждень);Робоча температура;;-10 °C - 55 °C;Розміри;;72.2  × 120.5  × 56.7 мм;Вага;;220 г;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;60 x 60 x 135 мм;Вага брутто;;0.26 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;беспроводной извещатель движения с шторой DS-PDC10DM-EG2-WE;Покриття;;"кут 5°, 32 зони";Метод роботи;;PIR + мікрохвилі;Висота установки;;2 - 3.5 м;Імунітет до тварин;;12 кг (настінний монтаж);Цифрова температурна компенсація;;Підтримує;Антісаботаж;;Підтримує;Частотна характеристика;;868 мГц;Відстань передачі;;1600 м;Швидкість детекції;;0.3～2 м/с;Живлення;;"CR123A × 2, 3 В";Термін роботи батареї;;до 5 років;Ступінь захисту;;IP65;Робоча температура;;-10 °C - 55 °C;Розміри;;29 × 134 × 40 мм;Вага;;120 г;Кількість в ящику;;40 шт;Розмір упаковки (Ш х В х Г);;80 x 150 x 20 мм;Вага брутто;;0.15 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;Извещатель беспроводной магнитно-контактный AX PRO DS-PDMC-EG2-WE(B)/Europe BLACK;Метод роботи;;"Увімкнення живлення, віддалений ID, QR-код";Особливості;;Макс відстань спрацьовування 43мм;Антісаботаж;;Підтримує;Частотна характеристика;;868 МГц;Відстань передачі;;1600м;Живлення;;CR123A x 1;Робоча температура;;-10°C - +55°C;Розмір упаковки (Ш х В х Г);;50 x 30 x 105 мм;Вага брутто;;0.08 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302302;Извещатель беспроводной магнитно-контактный AX PRO DS-PDMCS-EG2-WE/Europe BLACK;Метод роботи;;Увімкнення живлення;Особливості;;Макс відстань спрацьовування 52мм;Антісаботаж;;Підтримує;Частотна характеристика;;868 МГц;Відстань передачі;;1000м;Живлення;;CR2450 x 1;Робоча температура;;-10°C - +55°C;Розмір упаковки (Ш х В х Г);;55 x 30 x 70 мм;Вага брутто;;0.06 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
