Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
Діаметр;;"діелектрика 3.7 мм, центрального провідника 0.8 мм, кабелю 6 мм";Зворотні втрати;;30-470 MГц  >23дБ;Екранування;;5-10 MГц >65дБ;Додатково;;"Коефіцієнт загасання, номін., дБ/100м: 5 МГц -1.93, 50 МГц -6.13, 200 МГц -12.3";Опір;;75 Ом;Радіус вигину;;≥ 10 діаметрів кабелю;Робоча температура;;-20 °C ... +60 °C;Довжина кабеля;;305 м;Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;360 x 320 x 360 мм;Вага брутто;;18.64 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;F/UTP 5е;Екранування;;Підтримує;Ізоляція;;поліетилен;Оболонка;;LS0H-компаунд;Довжина кабеля;;305м;Кількість жил;;8;Переріз;;"0,51мм²";Кількість в ящику;;2 шт;Розмір упаковки (Ш х В х Г);;245 x 400 x 400 мм;Вага брутто;;12.5 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;комбінований коаксіальний + харчування + звук;Довжина кабеля;;20м;Розмір упаковки (Ш х В х Г);;130 x 50 x 130 мм;Вага брутто;;0.4 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;Сигнальний неекранований вогнестійкий;Центральний провідник;;Мідь;Довжина кабеля;;100м;Кількість жил;;6;Переріз;;0.4 мм2;Розмір упаковки (Ш х В х Г);;300 x 70 x 300 мм;Вага брутто;;2 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;сигнальний;Центральний провідник;;CU - мідь;Екранування;;Підтримує;Довжина кабеля;;100 м;Кількість жил;;8;Переріз;;"0,22 мм2";Розмір упаковки (Ш х В х Г);;200 x 110 x 200 мм;Вага брутто;;3.42 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;Cat 5e F/UTP з тросом;Екранування;;алюмополімерна стрічка;Оболонка;;"світлостабілізований поліетилен RAL 9011 чорний, 80 °C";Довжина кабеля;;500 м;Матеріал жили (провідника);;мідь;Монтаж;;зовні приміщення;Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;540 x 540 x 300 мм;Вага брутто;;31.52 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;U/UTP-cat.5Е;Центральний провідник;;Мідь;Ізоляція;;поліетилен;Оболонка;;полівінілхлоридний пластикат (ПВХ);Довжина кабеля;;100м;Кількість жил;;8;Переріз;;"0,51 мм2";Розмір упаковки (Ш х В х Г);;120 x 230 x 230 мм;Вага брутто;;3 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;UTP мережевий;Центральний провідник;;мідь;Довжина кабеля;;305 м;Кількість жил;;8;Переріз;;0.49 мм2;Розмір упаковки (Ш х В х Г);;240 x 400 x 400 мм;Вага брутто;;9.02 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;F/UTP-cat.5E;Центральний провідник;;CU (мідь);Екранування;;загальний екран із алюмінієвої фольги;Ізоляція;;ПВХ;Оболонка;;ПВХ;Довжина кабеля;;100 м;Кількість жил;;8;Переріз;;"0,51мм²";Розмір упаковки (Ш х В х Г);;140 x 270 x 265 мм;Вага брутто;;3.92 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;сигнальний вогнестійкий;Центральний провідник;;Мідь (Cu);Екранування;;Підтримує;Оболонка;;LSZH (безгалогенний компаунд);Довжина кабеля;;100 м;Кількість жил;;2;Переріз;;0.8 мм²;Розмір упаковки (Ш х В х Г);;350 x 100 x 350 мм;Вага брутто;;3.2 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;сигнальний вогнестійкий;Центральний провідник;;Мідь (Cu);Екранування;;Підтримує;Оболонка;;LSZH (безгалогенний компаунд);Довжина кабеля;;100 м;Кількість жил;;4;Переріз;;0.8 мм²;Розмір упаковки (Ш х В х Г);;350 x 150 x 350 мм;Вага брутто;;5 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;сигнальний  J-Y(St)Y;Центральний провідник;;Мідь (Cu);Екранування;;Підтримує;Оболонка;;ПВХ;Довжина кабеля;;100 м;Кількість жил;;2;Переріз;;0.8 мм²;Розмір упаковки (Ш х В х Г);;250 x 100 x 250 мм;Вага брутто;;2.4 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;сигнальний  J-Y(St)Y;Центральний провідник;;Мідь (Cu);Екранування;;Підтримує;Оболонка;;ПВХ;Довжина кабеля;;100 м;Кількість жил;;8;Переріз;;0.8 мм²;Розмір упаковки (Ш х В х Г);;350 x 100 x 350 мм;Вага брутто;;6.2 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;UTP;Центральний провідник;;біметал;Оболонка;;поліетилен;Довжина кабеля;;305 м;Кількість жил;;8;Переріз;;0.5 мм(24 AWG);Розмір упаковки (Ш х В х Г);;240 x 380 x 380 мм;Вага брутто;;6.1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;UTP  cat 5e;Центральний провідник;;Мідь;Довжина кабеля;;305 м;Кількість жил;;8;Переріз;;0.46 мм2;Кількість в ящику;;2 шт;Розмір упаковки (Ш х В х Г);;200 x 380 x 375 мм;Вага брутто;;8.24 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;Комбінований кабель;Центральний провідник;;"Монолітна мідна жила із загальним діаметром 1,02 мм";Екранування;;Алюміній-поліпропілен;Оболонка;;ПВХ;Довжина кабеля;;305 м (бухта);Кількість жил;;1;Розмір упаковки (Ш х В х Г);;450 x 160 x 450 мм;Вага брутто;;23.5 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;U/UTP CAT.5E;Центральний провідник;;мідь;Довжина кабеля;;305 м;Кількість жил;;4;Переріз;;0.48 мм2;Кількість в ящику;;2 шт;Розмір упаковки (Ш х В х Г);;360 x 210 x 370 мм;Вага брутто;;6 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;UTP кат. 5e;Центральний провідник;;Мідь;Оболонка;;PVC(ПВХ);Довжина кабеля;;100м;Кількість жил;;8;Переріз;;0.49мм2;Розмір упаковки (Ш х В х Г);;260 x 140 x 260 мм;Вага брутто;;2.9 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;Cat 5e F/UTP PE;Екранування;;алюмополімерна стрічка;Оболонка;;"світлостабілізований поліетилен RAL 9011 чорний, 80 °C";Довжина кабеля;;500 м;Матеріал жили (провідника);;мідь;Монтаж;;зовні приміщення;Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;400 x 400 x 235 мм;Вага брутто;;18.46 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;Cat. 5e U/UTP  РЕ;Оболонка;;"світлостабілізований поліетилен RAL 9011 чорний, 80 °C";Довжина кабеля;;500 м;Матеріал жили (провідника);;мідь 24 AWG;Монтаж;;поза приміщенням;Розмір упаковки (Ш х В х Г);;400 x 320 x 400 мм;Вага брутто;;21.68 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;BNC+DC+AV;Довжина кабеля;;5м;Розмір упаковки (Ш х В х Г);;90 x 40 x 90 мм;Вага брутто;;0.14 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;U/UTP кат. 6;Центральний провідник;;Мідь (Cu);Оболонка;;ПВХ;Довжина кабеля;;305 м;Кількість жил;;8;Переріз;;"0,54 мм2";Розмір упаковки (Ш х В х Г);;235 x 390 x 395 мм;Вага брутто;;10.52 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;сигнальний  J-Y(St)Y;Центральний провідник;;Мідь (Cu);Екранування;;Підтримує;Оболонка;;ПВХ;Довжина кабеля;;100 м;Кількість жил;;4;Переріз;;0.8 мм²;Розмір упаковки (Ш х В х Г);;270 x 90 x 270 мм;Вага брутто;;3.48 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;SL-59;Центральний провідник;;Мідь (Cu);Оболонка;;PVC (полівінілхлорид);Довжина кабеля;;305 м;Кількість жил;;2+1;Переріз;;0.5+0.8;Ізоляція;;OS-структура: коаксіальна жила та жили живлення об’єднані в одну оболонку з PVC-пластикату сірого кольору.;Розмір упаковки (Ш х В х Г);;380 x 260 x 380 мм;Вага брутто;;23 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;UTP cat 6;Центральний провідник;;Мідь (Cu);Оболонка;;PVC(ПВХ);Довжина кабеля;;305 м;Кількість жил;;8;Переріз;;"0,51 мм²";Розмір упаковки (Ш х В х Г);;240 x 400 x 390 мм;Вага брутто;;9.94 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;UTP cat 6;Центральний провідник;;Мідь (Cu);Оболонка;;PE (Поліетилен);Довжина кабеля;;305 м;Кількість жил;;8;Переріз;;"0,51 мм²";Розмір упаковки (Ш х В х Г);;240 x 400 x 400 мм;Вага брутто;;10.06 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;5e U/UTP 4x2x24 AWG PE;Оболонка;;Полівінілхлорид (PVC);Довжина кабеля;;500 м;Матеріал жили (провідника);;мідь;Монтаж;;поза приміщенням;Кількість жил;;8;Переріз;;0.51 мм;Розмір упаковки (Ш х В х Г);;360 x 210 x 370 мм;Вага брутто;;6 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;UTP кат.5е;Центральний провідник;;Мідний (Cu);Довжина кабеля;;500 м;Кількість в ящику;;2 шт;Розмір упаковки (Ш х В х Г);;360 x 210 x 370 мм;Вага брутто;;6 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;U/UTP-cat.5Е;Центральний провідник;;Мідний (Cu);Оболонка;;ПВХ;Довжина кабеля;;100 м;Кількість жил;;8;Переріз;;"0,51 мм";Розмір упаковки (Ш х В х Г);;140 x 270 x 270 мм;Вага брутто;;3.48 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;F/UTP-cat.5E-SL;Центральний провідник;;Мідний (Cu);Екранування;;Підтримує;Довжина кабеля;;100 м;Кількість жил;;8;Переріз;;0.48 мм;Розмір упаковки (Ш х В х Г);;140 x 270 x 270 мм;Вага брутто;;3.48 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;UTP з тросом;Центральний провідник;;CU (мідь);Довжина кабеля;;500м;Кількість жил;;8;Переріз;;0.51мм²;Кількість в ящику;;2 шт;Розмір упаковки (Ш х В х Г);;470 x 210 x 470 мм;Вага брутто;;25 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;UTP кат. 5e;Центральний провідник;;Мідь;Оболонка;;PVC(ПВХ);Довжина кабеля;;305м;Кількість жил;;8;Переріз;;0.49мм2;Розмір упаковки (Ш х В х Г);;380 x 200 x 380 мм;Вага брутто;;9.08 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;U/UTP cat.5E-SL;Центральний провідник;;мідь;Оболонка;;поліетилен;Довжина кабеля;;305 м;Кількість жил;;8;Переріз;;"0,46 мм2";Розмір упаковки (Ш х В х Г);;240 x 400 x 395 мм;Вага брутто;;8.08 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;комбінований мережевий FTP + живлення;Центральний провідник;;Мідь (Cu);Оболонка;;PE (Поліетилен);Довжина кабеля;;305 м;Кількість жил;;"4*2*0,51+2";Переріз;;"0,51+0.75 мм2";Кількість в ящику;;2 шт;Розмір упаковки (Ш х В х Г);;460 x 180 x 460 мм;Вага брутто;;19.32 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;сигнальний  J-Y(St)Y;Центральний провідник;;Мідь (Cu);Екранування;;Підтримує;Оболонка;;ПВХ;Довжина кабеля;;200 м;Кількість жил;;4;Переріз;;0.8 мм²;Розмір упаковки (Ш х В х Г);;300 x 100 x 300 мм;Вага брутто;;7.5 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;сигнальний вогнестійкий;Центральний провідник;;Мідь (Cu);Ізоляція;;полівінілхлоридний пластикат (ПВХ);Оболонка;;"полівінілхлоридний пластикат (ПВХ) не розповсюджує горіння, з низьким димо- та газовиділення";Кількість жил;;8;Переріз;;0.4 мм²;Розмір упаковки (Ш х В х Г);;220 x 90 x 220 мм;Вага брутто;;2.44 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;UTP вита пара зовнішній;Центральний провідник;;Мідь (Cu);Оболонка;;LDPE (поліетилен);Довжина кабеля;;305 м;Кількість жил;;8;Переріз;;0.51 мм;Розмір упаковки (Ш х В х Г);;255 x 360 x 370 мм;Вага брутто;;8.74 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;UTP cat 6;Центральний провідник;;Мідь (Cu);Оболонка;;LSZH (LSOH);Довжина кабеля;;305 м;Кількість жил;;8;Переріз;;"0,51 мм²";Розмір упаковки (Ш х В х Г);;240 x 400 x 395 мм;Вага брутто;;11.242 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;FTP-cat.5E;Оболонка;;поліетилен;Довжина кабеля;;500 м;Кількість жил;;8;Переріз;;0.5 мм2;Кількість в ящику;;2 шт;Розмір упаковки (Ш х В х Г);;530 x 190 x 530 мм;Вага брутто;;30 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тип;;вуличний мережевий;Центральний провідник;;Мідь (Cu);Екранування;;FTP;Оболонка;;PE (поліетилен);Довжина кабеля;;305 м;Кількість жил;;4;Переріз;;"0,51 мм²";Розмір упаковки (Ш х В х Г);;380 x 190 x 380 мм;Вага брутто;;11.54 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
