Код_товару;Назва_позиції;Назва_позиції_укр;Пошукові_запити;Пошукові_запити_укр;Опис;Опис_укр;Тип_товару;Ціна;Валюта;Одиниця_виміру;Посилання_зображення;Наявність;Кількість;Назва_групи;Назва_групи_укр;Номер_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Виробник;Країна_виробник;Продукт_на_сайті
;Комплект охранной сигнализации Ajax HDR StarterKit Cam Black (StarterKit Cam);Комплект охоронної сигналізації Ajax HDR StarterKit Cam Black (StarterKit Cam);Комплект охранной сигнализации Ajax HDR StarterKit Cam Black (StarterKit Cam), Комплект, охранной, сигнализации, Ajax, HDR, StarterKit, Cam, Black, (StarterKit, Cam);Комплект охоронної сигналізації Ajax HDR StarterKit Cam Black (StarterKit Cam), Комплект, охоронної, сигналізації, Ajax, HDR, StarterKit, Cam, Black, (StarterKit, Cam);"Ajax StarterKit Cam — стартовый комплект беспроводной системы безопасности Ajax с фотоверификацией тревог. В комплект входят: хаб второго поколения Hub 2, датчик движения с фотокамерой Ajax MotionCam, универсальный датчик открытия окна/двери Ajax DoorProtect и брелок для управления охранной системой Ajax Space Control.Подключается к пульту охранной компании;Всегда онлайн благодаря трем каналам связи;Автоматизирует безопасность сценариями;Присылает анимированную серию фотографий.Беспрецедентная скорость реагирования: Ajax моментально сообщит вам и охранной компании о взломе двери и менее чем за 9 секунд пришлет фотографию с места события. Удаленное управление со смартфона из любой точки мира с помощью мобильных приложений на iOS и Android. В несколько кликов можно настроить датчики, активировать частичную охрану и проверить состояние каждого устройства.Комплект охранной сигнализации Ajax StarterKit Cam легко подключается к пульту охраны. Запрос на обслуживание можно отправить сразу из м...";"Ajax StarterKit Cam – стартовий комплект бездротової системи безпеки Ajax з фотоверифікацією тривог. В комплект входять: хаб другого покоління Hub 2, датчик руху з фотокамерою Ajax MotionCam, універсальний датчик відкриття вікна/двері Ajax DoorProtect та брелок для керування охоронною системою Ajax Space Control.Підключається до пульта охоронної компанії;Завжди онлайн завдяки трьом каналам зв'язку;Автоматизує безпеку сценаріїв;Надсилає анімовану серію фотографій.Безпрецедентна швидкість реагування: Ajax миттєво повідомить вас і охоронну компанію про злам дверей і менш ніж за 9 секунд надішле фотографію з місця події. Віддалене керування зі смартфона з будь-якої точки світу за допомогою мобільних додатків на iOS та Android. У кілька кліків можна налаштувати датчики, активувати часткову охорону та перевірити стан кожного пристрою.Комплект сигналізації Ajax StarterKit Cam легко підключається до пульта охорони. Запит на обслуговування можна надіслати одразу з мобільної програми.Можливості ...";r;14699.0;UAH;шт.;https://content.secur.ua/goods/images/big/ajax-starterkit-cam-black-800x800.webp;В наличии;;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;Ajax;;https://secur.ua/signalizatsii/gsm-signalizatsii/bezprovodnye-gsm-sygnalizatsii/komplekt-oxoronnoyi-signalizaciyi-ajax-starterkit-cam-black-ajax-8986
;Комплект сигнализации Ajax StarterKit Black;Комплект сигналізації Ajax StarterKit Black;Комплект сигнализации Ajax StarterKit Black, Комплект, сигнализации, Ajax, StarterKit, Black;Комплект сигналізації Ajax StarterKit Black, Комплект, сигналізації, Ajax, StarterKit, Black;"Ajax StarteKit — стартовый комплект беспроводной системы безопасности Ajax. В набор входят интеллектуальная централь Ajax Hub, датчик движения Ajax MotionProtect, универсальный датчик открытия окна/двери Ajax DoorProtect и брелок для управления охранной системой Ajax Space Control.Система управляется удаленно с помощью мобильных приложений на iOS и Android. В несколько кликов можно настроить датчики, активировать частичную охрану и проверить состояние каждого устройства.Ajax легко подключается к пульту охраны. Запрос на обслуживание можно отправить сразу из мобильного приложения — в списке есть Полиция охраны Украины и более 45 частных охранных компаний со всей страны.Возможности StarterKit расширяются за счет дополнительных датчиков Ajax. С их помощью профессиональная охранная сигнализация превращается в систему, которая помогает предотвратить проникновение, пожар и потоп. Преимущества Ajax StarterKit:Сертифицированная сигнализация профессионального уровня;Возможность подключить к пул...";"Ajax StarteKit - стартовий комплект бездротової системи безпеки Ajax. У набір входять інтелектуальна централь Ajax Hub, датчик руху Ajax MotionProtect, універсальний датчик відкриття вікна/двері Ajax DoorProtect і брелок для управління охоронною системою Ajax Space Control.Система управляється дистанційно за допомогою мобільних додатків на iOS і Android. У кілька кліків можна налаштувати датчики, активувати часткову охорону і перевірити стан кожного пристрою.Ajax легко підключається до пульта охорони. Запит на обслуговування можна відправити відразу з мобільного додатка - в списку є Поліція охорони України і більше 45 приватних охоронних компаній з усієї країни.Можливості StarterKit розширюються за рахунок додаткових датчиків Ajax. З їх допомогою професійна охоронна сигналізація перетворюється в систему, яка допомагає запобігти проникненню, пожежі і потопу.Переваги Ajax StarterKitСертифікована сигналізація професійного рівня надійності Grade 2;Можливість підключити до пульта охоронної ...";r;9699.0;UAH;шт.;https://content.secur.ua/goods/images/big/ajax_starterkit_plus_2.webp;В наличии;;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;Ajax;;https://secur.ua/signalizatsii/gsm-signalizatsii/bezprovodnye-gsm-sygnalizatsii/komplekt-signalizaciyi-ajax-starterkit-cornii-ajax-1655
;Комплект сигнализации Ajax StarterKit 2 Black;Комплект сигналізації Ajax StarterKit 2 Black;Комплект сигнализации Ajax StarterKit 2 Black, Комплект, сигнализации, Ajax, StarterKit, Black;Комплект сигналізації Ajax StarterKit 2 Black, Комплект, сигналізації, Ajax, StarterKit, Black;"Ajax StarteKit 2 – стартовый комплект беспроводной системы безопасности Ajax. В набор входят интеллектуальная централь Ajax Hub 2, датчик движения Ajax MotionProtect, универсальный датчик открытия окна/двери Ajax DoorProtect и брелок для управления охранной системой Ajax Space Control.Система управляется дистанционно с помощью мобильных приложений на iOS и Android. В несколько кликов можно настроить датчики, активировать частичную охрану и проверить состояние каждого устройства.Ajax легко подключается к пульту защиты. Запрос на обслуживание можно отправить сразу с мобильного приложения – в списке есть Полиция охраны Украины и более 45 частных охранных компаний со всей страны.Возможности StarterKit расширяются за счет дополнительных датчиков Ajax. С их помощью профессиональная охранная сигнализация превращается в систему, которая помогает предотвратить проникновение, пожар и потоп.Преимущества Ajax StarterKit 2:Сертифицированная сигнализация профессионального уровня надежности Grade 2;в...";"Ajax StarteKit 2 - стартовий комплект бездротової системи безпеки Ajax. У набір входять інтелектуальна централь Ajax Hub 2, датчик руху Ajax MotionProtect, універсальний датчик відкриття вікна/двері Ajax DoorProtect і брелок для управління охоронною системою Ajax Space Control.Система управляється дистанційно за допомогою мобільних додатків на iOS і Android. У кілька кліків можна налаштувати датчики, активувати часткову охорону і перевірити стан кожного пристрою.Ajax легко підключається до пульта охорони. Запит на обслуговування можна відправити відразу з мобільного додатка - в списку є Поліція охорони України і більше 45 приватних охоронних компаній з усієї країни.Можливості StarterKit розширюються за рахунок додаткових датчиків Ajax. З їх допомогою професійна охоронна сигналізація перетворюється в систему, яка допомагає запобігти проникненню, пожежі і потопу.Переваги Ajax StarterKit 2:Сертифікована сигналізація професійного рівня надійності Grade 2;Можливість підключити до пульта охо...";r;12099.0;UAH;шт.;https://content.secur.ua/goods/images/big/ajax_starterkit_2_black_1.webp;В наличии;;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;Ajax;;https://secur.ua/signalizatsii/gsm-signalizatsii/bezprovodnye-gsm-sygnalizatsii/komplekt-signalizaciyi-ajax-starterkit-2-black-ajax-14217-1
;Комплект охранной сигнализации Ajax HDR StarterKit Cam Plus Black (StarterKit Cam Plus);Комплект охоронної сигналізації Ajax HDR StarterKit Cam Plus Black (StarterKit Cam Plus);Комплект охранной сигнализации Ajax HDR StarterKit Cam Plus Black (StarterKit Cam Plus), Комплект, охранной, сигнализации, Ajax, HDR, StarterKit, Cam, Plus, Black, (StarterKit, Plus);Комплект охоронної сигналізації Ajax HDR StarterKit Cam Plus Black (StarterKit Cam Plus), Комплект, охоронної, сигналізації, Ajax, HDR, StarterKit, Cam, Plus, Black, (StarterKit, Plus);"Ajax StarterKit Cam Plus — стартовый комплект беспроводной системы безопасности Ajax с фотоверификацией тревог. Комплект сигнализации StarterKit Cam Plus обеспечит многоуровневую безопасность и скорость реагирования на тревогу. В комплект StarterKit Cam Plus входит четыре устройства: централь Hub 2 Plus, датчик движения с фотокамерой MotionCam, датчик открытия DoorProtect, брелок управления SpaceControl. Подключается к пульту охранной компании;Всегда онлайн благодаря трем каналам связи;Автоматизирует безопасность сценариями;Присылает анимированную серию фотографий.Беспрецедентная скорость реагирования: Ajax моментально сообщит вам и охранной компании о взломе двери и менее чем за 9 секунд пришлет фотографию с места события. Удаленное управление со смартфона из любой точки мира с помощью мобильных приложений на iOS и Android. В несколько кликов можно настроить датчики, активировать частичную охрану и проверить состояние каждого устройства.К системе можно подключить 200 пользователей и с...";"Ajax StarterKit Cam Plus – стартовий комплект бездротової системи безпеки Ajax з фотоверифікацією тривог. Комплект сигналізації StarterKit Cam Plus забезпечить багаторівневу безпеку та швидкість реагування на тривогу. У комплект StarterKit Cam Plus входить чотири пристрої: централь Hub 2 Plus, датчик руху з фотокамерою MotionCam, датчик відкриття DoorProtect, брелок управління SpaceControl.Підключається до пульта охоронної компанії;Завжди онлайн завдяки трьом каналам зв'язку;Автоматизує безпеку сценаріїв;Надсилає анімовану серію фотографій.Безпрецедентна швидкість реагування: Ajax миттєво повідомить вас і охоронну компанію про злам дверей і менш ніж за 9 секунд надішле фотографію з місця події. Віддалене керування зі смартфона з будь-якої точки світу за допомогою мобільних додатків на iOS та Android. У кілька кліків можна налаштувати датчики, активувати часткову охорону та перевірити стан кожного пристрою.До системи можна підключити 200 користувачів та створити до 25 охоронних груп, ти...";r;19499.0;UAH;шт.;https://content.secur.ua/goods/images/big/ajax-starterkit-cam-black-800x800_2.webp;В наличии;;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;Ajax;;https://secur.ua/signalizatsii/gsm-signalizatsii/bezprovodnye-gsm-sygnalizatsii/komplekt-oxoronnoyi-signalizaciyi-ajax-starterkit-cam-plus-black-ajax-10768
;Комплект охранной сигнализации Ajax HDR StarterKit Cam White (StarterKit Cam);Комплект охоронної сигналізації Ajax HDR StarterKit Cam White (StarterKit Cam);Комплект охранной сигнализации Ajax HDR StarterKit Cam White (StarterKit Cam), Комплект, охранной, сигнализации, Ajax, HDR, StarterKit, Cam, White, (StarterKit, Cam);Комплект охоронної сигналізації Ajax HDR StarterKit Cam White (StarterKit Cam), Комплект, охоронної, сигналізації, Ajax, HDR, StarterKit, Cam, White, (StarterKit, Cam);"Ajax StarterKit Cam — стартовый комплект беспроводной системы безопасности Ajax с фотоверификацией тревог. В комплект входят: хаб второго поколения Hub 2, датчик движения с фотокамерой Ajax MotionCam, универсальный датчик открытия окна/двери Ajax DoorProtect и брелок для управления охранной системой Ajax Space Control. Подключается к пульту охранной компании;Всегда онлайн благодаря трем каналам связи;Автоматизирует безопасность сценариями;Присылает анимированную серию фотографий.Беспрецедентная скорость реагирования: Ajax моментально сообщит вам и охранной компании о взломе двери и менее чем за 9 секунд пришлет фотографию с места события. Удаленное управление со смартфона из любой точки мира с помощью мобильных приложений на iOS и Android. В несколько кликов можно настроить датчики, активировать частичную охрану и проверить состояние каждого устройства.Комплект охранной сигнализации Ajax StarterKit Cam легко подключается к пульту охраны. Запрос на обслуживание можно отправить сразу из ...";"Ajax StarterKit Cam – стартовий комплект бездротової системи безпеки Ajax з фотоверифікацією тривог. В комплект входять: хаб другого покоління Hub 2, датчик руху з фотокамерою Ajax MotionCam, універсальний датчик відкриття вікна/двері Ajax DoorProtect та брелок для керування охоронною системою Ajax Space Control.Підключається до пульта охоронної компанії;Завжди онлайн завдяки трьом каналам зв'язку;Автоматизує безпеку сценаріїв;Надсилає анімовану серію фотографій.Безпрецедентна швидкість реагування: Ajax миттєво повідомить вас і охоронну компанію про злам дверей і менш ніж за 9 секунд надішле фотографію з місця події. Віддалене керування зі смартфона з будь-якої точки світу за допомогою мобільних додатків на iOS та Android. У кілька кліків можна налаштувати датчики, активувати часткову охорону та перевірити стан кожного пристрою.Комплект сигналізації Ajax StarterKit Cam легко підключається до пульта охорони. Запит на обслуговування можна надіслати одразу з мобільної програми.Можливості ...";r;14699.0;UAH;шт.;https://content.secur.ua/goods/images/big/ajax-starterkit-cam-white.webp;В наличии;;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;Ajax;;https://secur.ua/signalizatsii/gsm-signalizatsii/bezprovodnye-gsm-sygnalizatsii/komplekt-oxoronnoyi-signalizaciyi-ajax-starterkit-cam-white-ajax-8987
Код_товару;Назва_позиції;Назва_позиції_укр;Пошукові_запити;Пошукові_запити_укр;Опис;Опис_укр;Тип_товару;Ціна;Валюта;Одиниця_виміру;Посилання_зображення;Наявність;Кількість;Назва_групи;Назва_групи_укр;Номер_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Виробник;Країна_виробник;Продукт_на_сайті
;Комплект сигнализации Ajax StarterKit White (25464.56.WH1);Комплект сигналізації Ajax StarterKit White (25464.56.WH1);Комплект сигнализации Ajax StarterKit White (25464.56.WH1), Комплект, сигнализации, Ajax, StarterKit, White, (25464.56.WH1);Комплект сигналізації Ajax StarterKit White (25464.56.WH1), Комплект, сигналізації, Ajax, StarterKit, White, (25464.56.WH1);"Ajax StarteKit — стартовый комплект беспроводной системы безопасности Ajax. В набор входят интеллектуальная централь Ajax Hub, датчик движения Ajax MotionProtect, универсальный датчик открытия окна/двери Ajax DoorProtect и брелок для управления охранной системой Ajax Space Control.Система управляется удаленно с помощью мобильных приложений на iOS и Android. В несколько кликов можно настроить датчики, активировать частичную охрану и проверить состояние каждого устройства.Ajax легко подключается к пульту охраны. Запрос на обслуживание можно отправить сразу из мобильного приложения — в списке есть Полиция охраны Украины и более 45 частных охранных компаний со всей страны.Возможности StarterKit расширяются за счет дополнительных датчиков Ajax. С их помощью профессиональная охранная сигнализация превращается в систему, которая помогает предотвратить проникновение, пожар и потоп. Преимущества Ajax StarterKitСертифицированная сигнализация профессионального уровня надежности Grade 2;Возможност...";"Ajax StarteKit - стартовий комплект бездротової системи безпеки Ajax. У набір входять інтелектуальна централь Ajax Hub, датчик руху Ajax MotionProtect, універсальний датчик відкриття вікна/двері Ajax DoorProtect і брелок для управління охоронною системою Ajax Space Control.Система управляється дистанційно за допомогою мобільних додатків на iOS і Android. У кілька кліків можна налаштувати датчики, активувати часткову охорону і перевірити стан кожного пристрою.Ajax легко підключається до пульта охорони. Запит на обслуговування можна відправити відразу з мобільного додатка - в списку є Поліція охорони України і більше 45 приватних охоронних компаній з усієї країни.Можливості StarterKit розширюються за рахунок додаткових датчиків Ajax. З їх допомогою професійна охоронна сигналізація перетворюється в систему, яка допомагає запобігти проникненню, пожежі і потопу.Переваги Ajax StarterKitСертифікована сигналізація професійного рівня надійності Grade 2;Можливість підключити до пульта охоронної ...";r;9699.0;UAH;шт.;https://content.secur.ua/goods/images/big/ajax_starterkit_plus_1_1.webp;В наличии;;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;Ajax;;https://secur.ua/signalizatsii/gsm-signalizatsii/bezprovodnye-gsm-sygnalizatsii/komplekt-signalizaciyi-ajax-starterkit-bilii-ajax-1629
Код_товару;Назва_позиції;Назва_позиції_укр;Пошукові_запити;Пошукові_запити_укр;Опис;Опис_укр;Тип_товару;Ціна;Валюта;Одиниця_виміру;Посилання_зображення;Наявність;Кількість;Назва_групи;Назва_групи_укр;Номер_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Виробник;Країна_виробник;Продукт_на_сайті
;Комплект сигнализации Ajax StarterKit White (25464.56.WH1);Комплект сигналізації Ajax StarterKit White (25464.56.WH1);Комплект сигнализации Ajax StarterKit White (25464.56.WH1), Комплект, сигнализации, Ajax, StarterKit, White, (25464.56.WH1);Комплект сигналізації Ajax StarterKit White (25464.56.WH1), Комплект, сигналізації, Ajax, StarterKit, White, (25464.56.WH1);"Ajax StarteKit — стартовый комплект беспроводной системы безопасности Ajax. В набор входят интеллектуальная централь Ajax Hub, датчик движения Ajax MotionProtect, универсальный датчик открытия окна/двери Ajax DoorProtect и брелок для управления охранной системой Ajax Space Control.Система управляется удаленно с помощью мобильных приложений на iOS и Android. В несколько кликов можно настроить датчики, активировать частичную охрану и проверить состояние каждого устройства.Ajax легко подключается к пульту охраны. Запрос на обслуживание можно отправить сразу из мобильного приложения — в списке есть Полиция охраны Украины и более 45 частных охранных компаний со всей страны.Возможности StarterKit расширяются за счет дополнительных датчиков Ajax. С их помощью профессиональная охранная сигнализация превращается в систему, которая помогает предотвратить проникновение, пожар и потоп. Преимущества Ajax StarterKitСертифицированная сигнализация профессионального уровня надежности Grade 2;Возможност...";"Ajax StarteKit - стартовий комплект бездротової системи безпеки Ajax. У набір входять інтелектуальна централь Ajax Hub, датчик руху Ajax MotionProtect, універсальний датчик відкриття вікна/двері Ajax DoorProtect і брелок для управління охоронною системою Ajax Space Control.Система управляється дистанційно за допомогою мобільних додатків на iOS і Android. У кілька кліків можна налаштувати датчики, активувати часткову охорону і перевірити стан кожного пристрою.Ajax легко підключається до пульта охорони. Запит на обслуговування можна відправити відразу з мобільного додатка - в списку є Поліція охорони України і більше 45 приватних охоронних компаній з усієї країни.Можливості StarterKit розширюються за рахунок додаткових датчиків Ajax. З їх допомогою професійна охоронна сигналізація перетворюється в систему, яка допомагає запобігти проникненню, пожежі і потопу.Переваги Ajax StarterKitСертифікована сигналізація професійного рівня надійності Grade 2;Можливість підключити до пульта охоронної ...";r;9699.0;UAH;шт.;https://content.secur.ua/goods/images/big/ajax_starterkit_plus_1_1.webp;В наличии;;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;Ajax;;https://secur.ua/signalizatsii/gsm-signalizatsii/bezprovodnye-gsm-sygnalizatsii/komplekt-signalizaciyi-ajax-starterkit-bilii-ajax-1629
;Комплект сигнализации Ajax StarterKit 2 White;Комплект сигналізації Ajax StarterKit 2 White;Комплект сигнализации Ajax StarterKit 2 White, Комплект, сигнализации, Ajax, StarterKit, White;Комплект сигналізації Ajax StarterKit 2 White, Комплект, сигналізації, Ajax, StarterKit, White;"Ajax StarteKit 2 — стартовый комплект беспроводной системы безопасности Ajax. В набор входят интеллектуальная централь Ajax Hub 2, датчик движения Ajax MotionProtect, универсальный датчик открытия окна/двери Ajax DoorProtect и брелок для управления охранной системой Ajax Space Control.Система управляется удаленно с помощью мобильных приложений на iOS и Android. В несколько кликов можно настроить датчики, активировать частичную охрану и проверить состояние каждого устройства.Ajax легко подключается к пульту охраны. Запрос на обслуживание можно отправить сразу из мобильного приложения — в списке есть Полиция охраны Украины и более 45 частных охранных компаний со всей страны.Возможности StarterKit расширяются за счет дополнительных датчиков Ajax. С их помощью профессиональная охранная сигнализация превращается в систему, которая помогает предотвратить проникновение, пожар и потоп.Преимущества Ajax StarterKit 2:Сертифицированная сигнализация профессионального уровня надежности Grade 2;Возм...";"Ajax StarteKit 2 - стартовий комплект бездротової системи безпеки Ajax. У набір входять інтелектуальна централь Ajax Hub 2, датчик руху Ajax MotionProtect, універсальний датчик відкриття вікна/двері Ajax DoorProtect і брелок для управління охоронною системою Ajax Space Control.Система управляється дистанційно за допомогою мобільних додатків на iOS і Android. У кілька кліків можна налаштувати датчики, активувати часткову охорону і перевірити стан кожного пристрою.Ajax легко підключається до пульта охорони. Запит на обслуговування можна відправити відразу з мобільного додатка - в списку є Поліція охорони України і більше 45 приватних охоронних компаній з усієї країни.Можливості StarterKit розширюються за рахунок додаткових датчиків Ajax. З їх допомогою професійна охоронна сигналізація перетворюється в систему, яка допомагає запобігти проникненню, пожежі і потопу.Переваги Ajax StarterKit 2:Сертифікована сигналізація професійного рівня надійності Grade 2;Можливість підключити до пульта охо...";r;12099.0;UAH;шт.;https://content.secur.ua/goods/images/big/ajax_starterkit_plus_1_1_3.webp;В наличии;;Сигнализация Ajax;Сигналізація Ajax;4331550;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;Ajax;;https://secur.ua/signalizatsii/gsm-signalizatsii/bezprovodnye-gsm-sygnalizatsii/komplekt-signalizaciyi-ajax-starterkit-2-white-ajax-14216-1
